"timestamp","wait_time","acayear"
"2015-03-18 00:19:06",35,"2014-2015"
"2015-03-17 23:24:22",35,"2014-2015"
"2015-03-17 22:51:09",35,"2014-2015"
"2015-03-17 22:19:15",25,"2014-2015"
"2015-03-17 21:42:13",25,"2014-2015"
"2015-03-17 21:03:04",17.5,"2014-2015"
"2015-03-17 20:35:17",15,"2014-2015"
"2015-03-17 20:00:32",10,"2014-2015"
"2015-03-17 19:31:43",10,"2014-2015"
"2015-03-17 19:01:19",0,"2014-2015"
"2015-03-17 01:41:39",30,"2014-2015"
"2015-03-17 01:09:14",35,"2014-2015"
"2015-03-17 00:25:13",35,"2014-2015"
"2015-03-16 23:03:32",40,"2014-2015"
"2015-03-16 22:32:32",35,"2014-2015"
"2015-03-16 22:04:03",35,"2014-2015"
"2015-03-16 21:29:44",35,"2014-2015"
"2015-03-16 20:59:06",20,"2014-2015"
"2015-03-16 20:29:55",10,"2014-2015"
"2015-03-16 20:01:04",15,"2014-2015"
"2015-03-16 19:27:27",15,"2014-2015"
"2015-03-16 19:00:21",0,"2014-2015"
"2015-03-16 01:30:08",35,"2014-2015"
"2015-03-16 01:01:40",30,"2014-2015"
"2015-03-16 00:34:56",42.5,"2014-2015"
"2015-03-16 00:05:49",35,"2014-2015"
"2015-03-15 23:32:04",40,"2014-2015"
"2015-03-15 23:01:37",35,"2014-2015"
"2015-03-15 22:29:30",35,"2014-2015"
"2015-03-15 22:07:41",20,"2014-2015"
"2015-03-15 21:35:37",10,"2014-2015"
"2015-03-15 21:04:23",10,"2014-2015"
"2015-03-15 20:29:48",20,"2014-2015"
"2015-03-15 20:03:50",27.5,"2014-2015"
"2015-03-15 19:31:33",25,"2014-2015"
"2015-03-15 19:00:56",0,"2014-2015"
"2015-03-15 00:59:50",27.5,"2014-2015"
"2015-03-15 00:29:11",35,"2014-2015"
"2015-03-14 23:29:46",37.5,"2014-2015"
"2015-03-14 23:05:45",30,"2014-2015"
"2015-03-14 22:47:35",35,"2014-2015"
"2015-03-14 22:02:01",22.5,"2014-2015"
"2015-03-14 21:42:48",25,"2014-2015"
"2015-03-14 21:00:33",17.5,"2014-2015"
"2015-03-14 20:40:58",25,"2014-2015"
"2015-03-14 20:00:46",15,"2014-2015"
"2015-03-14 19:29:37",20,"2014-2015"
"2015-03-14 19:02:03",0,"2014-2015"
"2015-03-14 01:28:34",35,"2014-2015"
"2015-03-14 00:48:18",35,"2014-2015"
"2015-03-13 23:50:20",30,"2014-2015"
"2015-03-13 22:44:24",35,"2014-2015"
"2015-03-13 22:08:06",27.5,"2014-2015"
"2015-03-13 21:29:09",17.5,"2014-2015"
"2015-03-13 20:54:52",10,"2014-2015"
"2015-03-13 20:19:38",17.5,"2014-2015"
"2015-03-13 19:44:38",27.5,"2014-2015"
"2015-03-13 19:00:48",0,"2014-2015"
"2015-03-13 00:58:19",35,"2014-2015"
"2015-03-13 00:27:49",35,"2014-2015"
"2015-03-12 23:55:04",40,"2014-2015"
"2015-03-12 23:26:17",35,"2014-2015"
"2015-03-12 22:46:38",50,"2014-2015"
"2015-03-12 22:12:21",42.5,"2014-2015"
"2015-03-12 21:40:13",35,"2014-2015"
"2015-03-12 21:08:58",25,"2014-2015"
"2015-03-12 20:31:10",35,"2014-2015"
"2015-03-12 20:01:52",35,"2014-2015"
"2015-03-12 19:31:23",30,"2014-2015"
"2015-03-12 19:00:16",0,"2014-2015"
"2015-03-12 00:39:24",45,"2014-2015"
"2015-03-12 00:05:50",30,"2014-2015"
"2015-03-11 23:30:23",45,"2014-2015"
"2015-03-11 22:59:09",40,"2014-2015"
"2015-03-11 22:11:57",42.5,"2014-2015"
"2015-03-11 21:31:43",45,"2014-2015"
"2015-03-11 20:34:11",30,"2014-2015"
"2015-03-11 20:05:46",25,"2014-2015"
"2015-03-11 19:29:13",20,"2014-2015"
"2015-03-11 19:05:39",0,"2014-2015"
"2015-03-11 01:29:01",30,"2014-2015"
"2015-03-11 00:58:34",30,"2014-2015"
"2015-03-10 22:53:42",40,"2014-2015"
"2015-03-10 22:14:45",60,"2014-2015"
"2015-03-10 21:44:31",60,"2014-2015"
"2015-03-10 21:24:40",40,"2014-2015"
"2015-03-10 21:02:45",40,"2014-2015"
"2015-03-10 20:33:14",30,"2014-2015"
"2015-03-10 20:02:03",40,"2014-2015"
"2015-03-10 19:32:08",15,"2014-2015"
"2015-03-10 19:00:47",0,"2014-2015"
"2015-03-10 00:13:55",40,"2014-2015"
"2015-03-09 23:43:21",45,"2014-2015"
"2015-03-09 23:03:29",60,"2014-2015"
"2015-03-09 22:15:25",45,"2014-2015"
"2015-03-09 21:42:00",45,"2014-2015"
"2015-03-09 20:55:44",35,"2014-2015"
"2015-03-09 20:23:02",20,"2014-2015"
"2015-03-09 19:55:30",30,"2014-2015"
"2015-03-09 19:23:04",35,"2014-2015"
"2015-03-09 19:00:21",0,"2014-2015"
"2015-03-09 01:25:13",20,"2014-2015"
"2015-03-09 01:00:13",30,"2014-2015"
"2015-03-09 00:29:00",30,"2014-2015"
"2015-03-08 23:54:08",40,"2014-2015"
"2015-03-08 23:25:25",35,"2014-2015"
"2015-03-08 22:54:06",35,"2014-2015"
"2015-03-08 22:27:43",30,"2014-2015"
"2015-03-08 21:08:05",30,"2014-2015"
"2015-03-08 20:31:15",22.5,"2014-2015"
"2015-03-08 19:58:58",17.5,"2014-2015"
"2015-03-08 19:30:28",25,"2014-2015"
"2015-03-08 19:00:47",0,"2014-2015"
"2015-03-07 23:34:36",40,"2014-2015"
"2015-03-07 23:01:29",52.5,"2014-2015"
"2015-03-07 21:22:23",20,"2014-2015"
"2015-03-07 20:47:42",12.5,"2014-2015"
"2015-03-07 20:10:30",35,"2014-2015"
"2015-03-07 19:37:53",25,"2014-2015"
"2015-03-07 19:03:09",20,"2014-2015"
"2015-03-07 01:07:06",40,"2014-2015"
"2015-03-07 00:36:27",45,"2014-2015"
"2015-03-06 23:43:29",35,"2014-2015"
"2015-03-06 23:02:14",30,"2014-2015"
"2015-03-06 22:32:34",50,"2014-2015"
"2015-03-06 21:00:24",45,"2014-2015"
"2015-03-06 20:30:11",40,"2014-2015"
"2015-03-06 20:04:51",35,"2014-2015"
"2015-03-06 19:02:08",0,"2014-2015"
"2015-03-06 01:27:21",20,"2014-2015"
